1316,75
1315,76
1307,76
1306,77
1295,77
1294,78
1290,78
1289,77
1288,77
1287,78
1276,78
1275,79
1259,79
1258,80
1257,80
1256,79
1253,79
1252,80
1239,80
1238,81
1234,81
1233,82
1206,82
1205,83
1204,83
1203,84
1203,85
1202,86
1202,87
1200,89
1200,90
1199,91
1199,93
1198,94
1198,95
1196,97
1196,99
1195,100
1195,101
1194,102
1194,103
1193,104
1193,105
1192,106
1192,107
1191,108
1191,109
1190,110
1190,111
1189,112
1189,114
1188,115
1188,116
1187,117
1187,118
1186,119
1186,120
1185,121
1185,122
1184,123
1184,124
1183,125
1183,126
1182,127
1182,128
1181,129
1181,130
1180,131
1180,133
1179,134
1179,135
1177,137
1177,138
1176,139
1176,141
1174,143
1174,145
1173,146
1173,147
1172,148
1172,149
1171,150
1171,151
1170,152
1170,153
1168,155
1168,157
1167,158
1167,160
1166,161
1166,162
1165,163
1165,164
1164,165
1164,166
1163,167
1163,168
1162,169
1162,170
1161,171
1161,172
1160,173
1160,174
1159,175
1159,176
1158,177
1158,178
1157,179
1157,180
1156,181
1156,182
1155,183
1155,184
1154,185
1154,186
1153,187
1153,188
1152,189
1152,191
1153,192
1153,193
1154,194
1154,195
1156,197
1156,198
1158,200
1158,201
1159,202
1159,203
1161,205
1161,206
1163,208
1163,209
1165,211
1165,212
1167,214
1167,215
1169,217
1169,218
1171,220
1171,221
1173,223
1173,224
1175,226
1175,227
1177,229
1177,230
1179,232
1179,233
1182,236
1182,237
1184,239
1184,240
1186,242
1186,243
1187,244
1187,245
1190,248
1190,249
1192,251
1192,252
1195,255
1195,256
1196,257
1196,258
1198,260
1198,261
1200,263
1200,264
1202,266
1202,267
1204,269
1204,270
1206,272
1206,273
1208,275
1208,276
1210,278
1210,279
1212,281
1212,282
1214,284
1214,285
1216,287
1216,288
1218,290
1231,290
1232,289
1246,289
1247,288
1265,288
1266,287
1281,287
1282,286
1297,286
1298,285
1309,285
1310,284
1319,284
1320,283
1330,283
1331,282
1334,282
1335,283
1336,283
1337,282
1339,282
1339,281
1341,279
1341,277
1342,276
1342,275
1343,274
1343,273
1344,272
1344,271
1345,270
1345,269
1347,267
1347,266
1348,265
1348,263
1349,262
1349,261
1351,259
1351,258
1352,257
1352,255
1354,253
1354,251
1355,250
1355,249
1356,248
1356,247
1357,246
1357,244
1359,242
1359,240
1361,238
1361,236
1362,235
1362,234
1363,233
1363,232
1365,230
1365,229
1366,228
1366,227
1367,226
1367,225
1368,224
1368,223
1369,222
1369,220
1371,218
1371,216
1373,214
1373,212
1375,210
1375,208
1377,206
1377,204
1378,203
1378,202
1379,201
1379,200
1380,199
1380,198
1381,197
1381,196
1382,195
1382,194
1383,193
1383,192
1384,191
1384,190
1385,189
1385,188
1386,187
1386,186
1387,185
1387,184
1388,183
1388,182
1389,181
1389,180
1390,179
1390,177
1391,176
1391,175
1390,174
1390,173
1389,172
1389,171
1386,168
1386,167
1385,166
1385,165
1383,163
1383,162
1382,161
1382,160
1380,158
1380,157
1379,156
1379,155
1375,151
1375,150
1373,148
1373,147
1371,145
1371,144
1370,143
1370,142
1368,140
1368,139
1363,134
1363,133
1362,132
1362,131
1361,130
1361,129
1359,127
1359,126
1357,124
1357,123
1355,121
1355,120
1352,117
1352,116
1351,115
1351,114
1349,112
1349,111
1347,109
1347,108
1346,107
1346,106
1343,103
1343,102
1341,100
1341,99
1340,98
1340,97
1338,95
1338,94
1336,92
1336,91
1334,89
1334,88
1330,84
1330,83
1329,82
1329,81
1325,77
1322,77
1321,76
1318,76
1317,75
